St_Num,St_Dir,St_Name,St_Type,St_Addr,City,Zip,X,Y,Address,Price,Neighborhood
7226,N,Greenwich,Ave,7226 N Greenwich Ave,Portland,97217,-122.68318663,45.57573983,"7226 N Greenwich Ave, Portland, OR 97217",529000,ARBOR LODGE
7403,N,Omaha,Ave,7403 N Omaha Ave,Portland,97217,-122.69036262,45.57652266,"7403 N Omaha Ave, Portland, OR 97217",375000,ARBOR LODGE
9004,SE,41st,Ave,9004 SE 41st Ave,Portland,97222,-122.62127387,45.45746829,"9004 SE 41st Ave, Portland, OR 97222",525000,ARDENWALD
3815,SE,Tenino,St,3815 SE Tenino St,Portland,97202,-122.62313842,45.46436165,"3815 SE Tenino St, Portland, OR 97202",849900,ARDENWALD
3821,SE,Tenino,St,3821 SE Tenino St,Portland,97202,-122.62294446,45.46436341,"3821 SE Tenino St, Portland, OR 97202",849900,ARDENWALD
14643,NE,Stanton,Ct,14643 NE Stanton Ct,Portland,97230,-122.51139751,45.54349025,"14643 NE Stanton Ct, Portland, OR 97230",350000,ARGAY 
14128,NE,Rose,Pkwy,14128 NE Rose Pkwy,Portland,97230,-122.51702017,45.54436075,"14128 NE Rose Pkwy, Portland, OR 97230",540000,ARGAY 
13121,NE,Rose,Pkwy,13121 NE Rose Pkwy,Portland,97230,-122.52699120,45.54563229,"13121 NE Rose Pkwy, Portland, OR 97230",699100,ARGAY 
3320,NE,132nd,Ave,3320 NE 132nd Ave,Portland,97230,-122.52625686,45.54700105,"3320 NE 132nd Ave, Portland, OR 97230",549000,ARGAY 
13831,NE,Fremont,Ct,13831 NE Fremont Ct,Portland,97230,-122.51997379,45.54739706,"13831 NE Fremont Ct, Portland, OR 97230",559900,ARGAY 
3437,NE,126th,Ave,3437 NE 126th Ave,Portland,97230,-122.53366638,45.54781590,"3437 NE 126th Ave, Portland, OR 97230",565000,ARGAY 
13843,NE,Fremont,St,13843 NE Fremont St,Portland,97230,-122.51982786,45.54785358,"13843 NE Fremont St, Portland, OR 97230",519000,ARGAY 
3544,NE,134th,Ave,3544 NE 134th Ave,Portland,97230,-122.52505733,45.54872567,"3544 NE 134th Ave, Portland, OR 97230",474900,ARGAY 
3637,NE,141st,Ave,3637 NE 141st Ave,Portland,97230,-122.51776742,45.54935599,"3637 NE 141st Ave, Portland, OR 97230",569000,ARGAY 
3634,NE,145th,Ave,3634 NE 145th Ave,Portland,97230,-122.51335862,45.54949614,"3634 NE 145th Ave, Portland, OR 97230",430000,ARGAY 
3834,NE,145th,Ave,3834 NE 145th Ave,Portland,97230,-122.51333976,45.55105119,"3834 NE 145th Ave, Portland, OR 97230",438800,ARGAY 
4211,NE,134th,Ave,4211 NE 134th Ave,Portland,97230,-122.52510754,45.55353701,"4211 NE 134th Ave, Portland, OR 97230",329000,ARGAY 
2910,SW,Canterbury,Ln,2910 SW Canterbury Ln,Portland,97205,-122.71027618,45.52152317,"2910 SW Canterbury Ln, Portland, OR 97205",2300000,ARLINGTON HEIGHTS
2955,SW,Fairview,Blvd,2955 SW Fairview Blvd,Portland,97205,-122.71019597,45.52191749,"2955 SW Fairview Blvd, Portland, OR 97205",1499000,ARLINGTON HEIGHTS
3127,SW,Champlain,Dr,3127 SW Champlain Dr,Portland,97205,-122.71408551,45.52219628,"3127 SW Champlain Dr, Portland, OR 97205",1200000,ARLINGTON HEIGHTS
2670,SW,Tichner,Dr,2670 SW Tichner Dr,Portland,97205,-122.70581902,45.52358248,"2670 SW Tichner Dr, Portland, OR 97205",2275000,ARLINGTON HEIGHTS
12011,SW,Sylvania,Ct,12011 SW Sylvania Ct,Portland,97219,-122.70693784,45.43848135,"12011 SW Sylvania Ct, Portland, OR 97219",899900,ARNOLD CREEK
2515,SW,Abigail,Ct,2515 SW Abigail Ct,Portland,97219,-122.70267799,45.44376752,"2515 SW Abigail Ct, Portland, OR 97219",579000,ARNOLD CREEK
3095,SW,Arnold,St,3095 SW Arnold St,Portland,97219,-122.70800335,45.44513197,"3095 SW Arnold St, Portland, OR 97219",1365000,ARNOLD CREEK
1058,SW,Arnold,St,1058 SW Arnold St,Portland,97219,-122.68967481,45.44597431,"1058 SW Arnold St, Portland, OR 97219",1400000,ARNOLD CREEK
2905,SW,Comus,St,2905 SW Comus St,Portland,97219,-122.70680130,45.44649248,"2905 SW Comus St, Portland, OR 97219",998000,ARNOLD CREEK
2911,SW,Dickinson,St,2911 SW Dickinson St,Portland,97219,-122.70693197,45.44735749,"2911 SW Dickinson St, Portland, OR 97219",550000,ARNOLD CREEK
3439,SW,Dickinson,St,3439 SW Dickinson St,Portland,97219,-122.71244567,45.44739378,"3439 SW Dickinson St, Portland, OR 97219",699900,ARNOLD CREEK
9711,SW,54th,Ave,9711 SW 54th Ave,Portland,97219,-122.73247871,45.45533547,"9711 SW 54th Ave, Portland, OR 97219",949900,ASHCREEK
9705,SW,54th,Ave,9705 SW 54th Ave,Portland,97219,-122.73247914,45.45536947,"9705 SW 54th Ave, Portland, OR 97219",949900,ASHCREEK
9626,SW,50th,Ave,9626 SW 50th Ave,Portland,97219,-122.72830247,45.45569099,"9626 SW 50th Ave, Portland, OR 97219",409000,ASHCREEK
4703,SW,Brugger,St,4703 SW Brugger St,Portland,97219,-122.72555379,45.45613984,"4703 SW Brugger St, Portland, OR 97219",509000,ASHCREEK
9326,SW,51st,Ave,9326 SW 51st Ave,Portland,97219,-122.72938064,45.45792435,"9326 SW 51st Ave, Portland, OR 97219",499000,ASHCREEK
9345,SW,53rd,Ave,9345 SW 53rd Ave,Portland,97219,-122.73144359,45.45792992,"9345 SW 53rd Ave, Portland, OR 97219",949000,ASHCREEK
9233,SW,52nd,Ave,9233 SW 52nd Ave,Portland,97219,-122.73046509,45.45830367,"9233 SW 52nd Ave, Portland, OR 97219",875000,ASHCREEK
5021,SW,Marigold,St,5021 SW Marigold St,Portland,97219,-122.72900798,45.46030317,"5021 SW Marigold St, Portland, OR 97219",450000,ASHCREEK
8927,SW,51st,Ave,8927 SW 51st Ave,Portland,97219,-122.72946169,45.46073505,"8927 SW 51st Ave, Portland, OR 97219",574900,ASHCREEK
6230,SW,Dolph,Dr,6230 SW Dolph Dr,Portland,97219,-122.74160958,45.46161033,"6230 SW Dolph Dr, Portland, OR 97219",899000,ASHCREEK
8808,SW,51st,Ave,8808 SW 51st Ave,Portland,97219,-122.72939421,45.46171603,"8808 SW 51st Ave, Portland, OR 97219",715000,ASHCREEK
8020,SW,61st,Ave,8020 SW 61st Ave,Portland,97219,-122.73943942,45.46674429,"8020 SW 61st Ave, Portland, OR 97219",530000,ASHCREEK
8005,SW,62nd,Pl,8005 SW 62nd Pl,Portland,97219,-122.74118805,45.46719553,"8005 SW 62nd Pl, Portland, OR 97219",474900,ASHCREEK
3034,NE,36th,Ave,3034 NE 36th Ave,Portland,97212,-122.62621600,45.54514647,"3034 NE 36th Ave, Portland, OR 97212",1200000,BEAUMONT-WILSHIRE
3036,NE,43rd,Ave,3036 NE 43rd Ave,Portland,97213,-122.61877061,45.54514807,"3036 NE 43rd Ave, Portland, OR 97213",783000,BEAUMONT-WILSHIRE
3415,NE,41st,Ave,3415 NE 41st Ave,Portland,97212,-122.62081747,45.54783300,"3415 NE 41st Ave, Portland, OR 97212",1199000,BEAUMONT-WILSHIRE
3835,NE,Bryce,St,3835 NE Bryce St,Portland,97212,-122.62362541,45.54970174,"3835 NE Bryce St, Portland, OR 97212",850000,BEAUMONT-WILSHIRE
3937,NE,37th,Ave,3937 NE 37th Ave,Portland,97212,-122.62554755,45.55084998,"3937 NE 37th Ave, Portland, OR 97212",1395000,BEAUMONT-WILSHIRE
4453,NE,Failing,St,4453 NE Failing St,Portland,97213,-122.61727444,45.55106183,"4453 NE Failing St, Portland, OR 97213",1249000,BEAUMONT-WILSHIRE
4215,NE,Shaver,Ct,4215 NE Shaver Ct,Portland,97213,-122.61949498,45.55148980,"4215 NE Shaver Ct, Portland, OR 97213",1475000,BEAUMONT-WILSHIRE
4110,NE,40th,Ave,4110 NE 40th Ave,Portland,97211,-122.62237818,45.55265213,"4110 NE 40th Ave, Portland, OR 97211",849900,BEAUMONT-WILSHIRE
4206,NE,37th,Ave,4206 NE 37th Ave,Portland,97211,-122.62551938,45.55310475,"4206 NE 37th Ave, Portland, OR 97211",599900,BEAUMONT-WILSHIRE
4345,NE,47th,Ave,4345 NE 47th Ave,Portland,97218,-122.61491996,45.55444498,"4345 NE 47th Ave, Portland, OR 97218",575000,BEAUMONT-WILSHIRE
4649,NE,35th,Ave,4649 NE 35th Ave,Portland,97211,-122.62865313,45.55740023,"4649 NE 35th Ave, Portland, OR 97211",1050000,BEAUMONT-WILSHIRE
4824,NE,37th,Ave,4824 NE 37th Ave,Portland,97211,-122.62548250,45.55783299,"4824 NE 37th Ave, Portland, OR 97211",625000,BEAUMONT-WILSHIRE
3223,N,Kerby,Ave,3223 N Kerby Ave,Portland,97227,-122.67209167,45.54662936,"3223 N Kerby Ave, Portland, OR 97227",350000,BOISE
3240,N,Michigan,Ave,3240 N Michigan Ave,Portland,97227,-122.67660247,45.54670500,"3240 N Michigan Ave, Portland, OR 97227",615000,BOISE
1026,N,Fremont,St,1026 N Fremont St,Portland,97227,-122.67729297,45.54781246,"1026 N Fremont St, Portland, OR 97227",499000,BOISE
3553,N,Missouri,Ave,3553 N Missouri Ave,Portland,97227,-122.67772464,45.54865438,"3553 N Missouri Ave, Portland, OR 97227",499900,BOISE
3639,NE,Rodney,Ave,3639 NE Rodney Ave,Portland,97212,-122.66465449,45.54939685,"3639 NE Rodney Ave, Portland, OR 97212",799000,BOISE
3645,N,Albina,Ave,3645 N Albina Ave,Portland,97227,-122.67450750,45.54939899,"3645 N Albina Ave, Portland, OR 97227",799900,BOISE
3737,N,Vancouver,Ave,3737 N Vancouver Ave,Portland,97227,-122.66796333,45.55004867,"3737 N Vancouver Ave, Portland, OR 97227",649900,BOISE
3741,N,Vancouver,Ave,3741 N Vancouver Ave,Portland,97227,-122.66796283,45.55011665,"3741 N Vancouver Ave, Portland, OR 97227",699900,BOISE
3835,NE,Cleveland,Ave,3835 NE Cleveland Ave,Portland,97212,-122.66566954,45.55065347,"3835 NE Cleveland Ave, Portland, OR 97212",624900,BOISE
4051,N,Commercial,Ave,4051 N Commercial Ave,Portland,97227,-122.67123269,45.55287911,"4051 N Commercial Ave, Portland, OR 97227",1099950,BOISE
4057,N,Commercial,Ave,4057 N Commercial Ave,Portland,97227,-122.67123328,45.55293037,"4057 N Commercial Ave, Portland, OR 97227",1099950,BOISE
4229,N,Albina,Ave,4229 N Albina Ave,Portland,97217,-122.67446073,45.55440299,"4229 N Albina Ave, Portland, OR 97217",499000,BOISE
7417,SE,Sherrett,St,7417 SE Sherrett St,Portland,97206,-122.58725440,45.46240590,"7417 SE Sherrett St, Portland, OR 97206",419900,BRENTWOOD-DARLINGTON
6036,SE,Harney,St,6036 SE Harney St,Portland,97206,-122.60142820,45.46306958,"6036 SE Harney St, Portland, OR 97206",299900,BRENTWOOD-DARLINGTON
8308,SE,64th,Ave,8308 SE 64th Ave,Portland,97206,-122.59754344,45.46363368,"8308 SE 64th Ave, Portland, OR 97206",529950,BRENTWOOD-DARLINGTON
8219,SE,67th,Ave,8219 SE 67th Ave,Portland,97206,-122.59454054,45.46388023,"8219 SE 67th Ave, Portland, OR 97206",419900,BRENTWOOD-DARLINGTON
5839,SE,Tenino,St,5839 SE Tenino St,Portland,97206,-122.60328161,45.46450171,"5839 SE Tenino St, Portland, OR 97206",549900,BRENTWOOD-DARLINGTON
8125,SE,52nd,Ave,8125 SE 52nd Ave,Portland,97206,-122.61006433,45.46461306,"8125 SE 52nd Ave, Portland, OR 97206",429900,BRENTWOOD-DARLINGTON
8114,SE,63rd,Ave,8114 SE 63rd Ave,Portland,97206,-122.59855639,45.46471302,"8114 SE 63rd Ave, Portland, OR 97206",384999,BRENTWOOD-DARLINGTON
6936,SE,Crystal Springs,Blvd,6936 SE Crystal Springs Blvd,Portland,97206,-122.59156061,45.46481821,"6936 SE Crystal Springs Blvd, Portland, OR 97206",469900,BRENTWOOD-DARLINGTON
7825,SE,Crystal Springs,Blvd,7825 SE Crystal Springs Blvd,Portland,97206,-122.58279800,45.46510751,"7825 SE Crystal Springs Blvd, Portland, OR 97206",385000,BRENTWOOD-DARLINGTON
8019,SE,68th,Ave,8019 SE 68th Ave,Portland,97206,-122.59322265,45.46513827,"8019 SE 68th Ave, Portland, OR 97206",425000,BRENTWOOD-DARLINGTON
8027,SE,52nd,Ave,8027 SE 52nd Ave,Portland,97206,-122.61006014,45.46518266,"8027 SE 52nd Ave, Portland, OR 97206",420000,BRENTWOOD-DARLINGTON
6136,SE,Lexington,St,6136 SE Lexington St,Portland,97206,-122.60019866,45.46652016,"6136 SE Lexington St, Portland, OR 97206",385000,BRENTWOOD-DARLINGTON
6071,SE,Lexington,St,6071 SE Lexington St,Portland,97206,-122.60091934,45.46657229,"6071 SE Lexington St, Portland, OR 97206",499950,BRENTWOOD-DARLINGTON
7827,SE,54th,Ave,7827 SE 54th Ave,Portland,97206,-122.60737742,45.46685602,"7827 SE 54th Ave, Portland, OR 97206",699900,BRENTWOOD-DARLINGTON
7816,SE,60th,Ave,7816 SE 60th Ave,Portland,97206,-122.60207833,45.46708713,"7816 SE 60th Ave, Portland, OR 97206",497900,BRENTWOOD-DARLINGTON
5255,SE,Lambert,St,5255 SE Lambert St,Portland,97206,-122.60882599,45.46727750,"5255 SE Lambert St, Portland, OR 97206",514900,BRENTWOOD-DARLINGTON
7734,SE,66th,Pl,7734 SE 66th Pl,Portland,97206,-122.59486986,45.46753462,"7734 SE 66th Pl, Portland, OR 97206",299000,BRENTWOOD-DARLINGTON
7725,SE,62nd,Ave,7725 SE 62nd Ave,Portland,97206,-122.59964454,45.46772239,"7725 SE 62nd Ave, Portland, OR 97206",429900,BRENTWOOD-DARLINGTON
5705,SE,Malden,St,5705 SE Malden St,Portland,97206,-122.60456798,45.46794747,"5705 SE Malden St, Portland, OR 97206",375000,BRENTWOOD-DARLINGTON
7610,SE,69th,Ave,7610 SE 69th Ave,Portland,97206,-122.59225069,45.46820471,"7610 SE 69th Ave, Portland, OR 97206",399900,BRENTWOOD-DARLINGTON
7519,SE,70th,Ave,7519 SE 70th Ave,Portland,97206,-122.59134092,45.46832964,"7519 SE 70th Ave, Portland, OR 97206",399900,BRENTWOOD-DARLINGTON
7502,SE,64th,Ave,7502 SE 64th Ave,Portland,97206,-122.59776447,45.46838827,"7502 SE 64th Ave, Portland, OR 97206",399500,BRENTWOOD-DARLINGTON
6204,SE,Flavel,St,6204 SE Flavel St,Portland,97206,-122.59936600,45.46860251,"6204 SE Flavel St, Portland, OR 97206",550000,BRENTWOOD-DARLINGTON
4914,SE,Henderson,St,4914 SE Henderson St,Portland,97206,-122.61277705,45.46976642,"4914 SE Henderson St, Portland, OR 97206",614950,BRENTWOOD-DARLINGTON
4930,SE,Henderson,St,4930 SE Henderson St,Portland,97206,-122.61259591,45.46977015,"4930 SE Henderson St, Portland, OR 97206",599950,BRENTWOOD-DARLINGTON
5420,SE,Knapp,St,5420 SE Knapp St,Portland,97206,-122.60680829,45.46997660,"5420 SE Knapp St, Portland, OR 97206",649900,BRENTWOOD-DARLINGTON
5424,SE,Knapp,St,5424 SE Knapp St,Portland,97206,-122.60671023,45.46997736,"5424 SE Knapp St, Portland, OR 97206",649900,BRENTWOOD-DARLINGTON
7912,SE,Henderson,St,7912 SE Henderson St,Portland,97206,-122.58206031,45.47000489,"7912 SE Henderson St, Portland, OR 97206",399000,BRENTWOOD-DARLINGTON
7435,SE,Henderson,St,7435 SE Henderson St,Portland,97206,-122.58671059,45.47004428,"7435 SE Henderson St, Portland, OR 97206",699900,BRENTWOOD-DARLINGTON
4607,SE,Knapp,St,4607 SE Knapp St,Portland,97206,-122.61489597,45.47052944,"4607 SE Knapp St, Portland, OR 97206",719800,BRENTWOOD-DARLINGTON
4611,SE,Knapp,St,4611 SE Knapp St,Portland,97206,-122.61487947,45.47052978,"4611 SE Knapp St, Portland, OR 97206",719900,BRENTWOOD-DARLINGTON
8135,SE,Ogden,St,8135 SE Ogden St,Portland,97206,-122.57975956,45.47101667,"8135 SE Ogden St, Portland, OR 97206",649000,BRENTWOOD-DARLINGTON
7431,SE,Ogden,St,7431 SE Ogden St,Portland,97206,-122.58691603,45.47101747,"7431 SE Ogden St, Portland, OR 97206",379999,BRENTWOOD-DARLINGTON
6608,SE,Ogden,St,6608 SE Ogden St,Portland,97206,-122.59502703,45.47105250,"6608 SE Ogden St, Portland, OR 97206",479000,BRENTWOOD-DARLINGTON
7026,SE,69th,Ave,7026 SE 69th Ave,Portland,97206,-122.59223644,45.47181400,"7026 SE 69th Ave, Portland, OR 97206",390000,BRENTWOOD-DARLINGTON
4815,SE,Rural,St,4815 SE Rural St,Portland,97206,-122.61346302,45.47192753,"4815 SE Rural St, Portland, OR 97206",955000,BRENTWOOD-DARLINGTON
5320,SE,Cooper,St,5320 SE Cooper St,Portland,97206,-122.60789836,45.47354515,"5320 SE Cooper St, Portland, OR 97206",279000,BRENTWOOD-DARLINGTON
6745,SE,68th,Ave,6745 SE 68th Ave,Portland,97206,-122.59325811,45.47359025,"6745 SE 68th Ave, Portland, OR 97206",375000,BRENTWOOD-DARLINGTON
6710,SE,81st,Ave,6710 SE 81st Ave,Portland,97206,-122.58071250,45.47447358,"6710 SE 81st Ave, Portland, OR 97206",249900,BRENTWOOD-DARLINGTON
6644,SE,47th,Ave,6644 SE 47th Ave,Portland,97206,-122.61455887,45.47463137,"6644 SE 47th Ave, Portland, OR 97206",649000,BRENTWOOD-DARLINGTON
6616,SE,75th,Ave,6616 SE 75th Ave,Portland,97206,-122.58646952,45.47493261,"6616 SE 75th Ave, Portland, OR 97206",410000,BRENTWOOD-DARLINGTON
6551,SE,69th,Ave,6551 SE 69th Ave,Portland,97206,-122.59228388,45.47500411,"6551 SE 69th Ave, Portland, OR 97206",519000,BRENTWOOD-DARLINGTON
6549,SE,64th,Ave,6549 SE 64th Ave,Portland,97206,-122.59715745,45.47511701,"6549 SE 64th Ave, Portland, OR 97206",459000,BRENTWOOD-DARLINGTON
6529,SE,58th,Ave,6529 SE 58th Ave,Portland,97206,-122.60352267,45.47530649,"6529 SE 58th Ave, Portland, OR 97206",499000,BRENTWOOD-DARLINGTON
6521,SE,71st,Ave,6521 SE 71st Ave,Portland,97206,-122.59034590,45.47548992,"6521 SE 71st Ave, Portland, OR 97206",350000,BRENTWOOD-DARLINGTON
437,NE,Roth,St,437 NE Roth St,Portland,97211,-122.66094290,45.60117631,"437 NE Roth St, Portland, OR 97211",415000,BRIDGETON
419,NE,Roth,St,419 NE Roth St,Portland,97211,-122.66120902,45.60121889,"419 NE Roth St, Portland, OR 97211",399000,BRIDGETON
559,NE,Bridgeton,Rd,559 NE Bridgeton Rd,Portland,97211,-122.65939174,45.60156569,"559 NE Bridgeton Rd, Portland, OR 97211",330000,BRIDGETON
425,N,Marine,Dr,425 N Marine Dr,Portland,97217,-122.67060581,45.60209086,"425 N Marine Dr, Portland, OR 97217",415000,BRIDGETON
4735,SW,Beaverton Hillsdale,Hwy,4735 SW Beaverton Hillsdale Hwy,Portland,97221,-122.72548297,45.48634000,"4735 SW Beaverton Hillsdale Hwy, Portland, OR 97221",475000,BRIDLEMILE
4575,SW,59th,Ave,4575 SW 59th Ave,Portland,97221,-122.73800679,45.48799669,"4575 SW 59th Ave, Portland, OR 97221",2195000,BRIDLEMILE
4805,SW,50th,Ave,4805 SW 50th Ave,Portland,97221,-122.72834514,45.48832220,"4805 SW 50th Ave, Portland, OR 97221",755000,BRIDLEMILE
4560,SW,59th,Ave,4560 SW 59th Ave,Portland,97221,-122.73774401,45.48990202,"4560 SW 59th Ave, Portland, OR 97221",2195000,BRIDLEMILE
4803,SW,Hamilton,St,4803 SW Hamilton St,Portland,97221,-122.72680949,45.49075844,"4803 SW Hamilton St, Portland, OR 97221",740000,BRIDLEMILE
4439,SW,Eleanor,Ln,4439 SW Eleanor Ln,Portland,97221,-122.73967931,45.49103999,"4439 SW Eleanor Ln, Portland, OR 97221",1195000,BRIDLEMILE
